name,year,population
Holy See,2020,"1,439,323,776"
Holy See,2019,"1,433,783,686"
Holy See,2018,"1,427,647,786"
Holy See,2017,"1,421,021,791"
Holy See,2016,"1,414,049,351"
Holy See,2015,"1,406,847,870"
Holy See,2010,"1,368,810,615"
Holy See,2005,"1,330,776,380"
Holy See,2000,"1,290,550,765"
Holy See,1995,"1,240,920,535"
Holy See,1990,"1,176,883,674"
Holy See,1985,"1,075,589,361"
Holy See,1980,"1,000,089,235"
Holy See,1975,"926,240,885"
Holy See,1970,"827,601,394"
Holy See,1965,"724,218,968"
Holy See,1960,"660,408,056"
Holy See,1955,"612,241,554"
Holy See,2020,"84,339,067"
Holy See,2019,"83,429,615"
Holy See,2018,"82,340,088"
Holy See,2017,"81,116,450"
Holy See,2016,"79,827,871"
Holy See,2015,"78,529,409"
Holy See,2010,"72,326,988"
Holy See,2005,"67,903,469"
Holy See,2000,"63,240,194"
Holy See,1995,"58,486,456"
Holy See,1990,"53,921,760"
Holy See,1985,"49,133,937"
Holy See,1980,"43,975,971"
Holy See,1975,"39,277,258"
Holy See,1970,"34,876,303"
Holy See,1965,"30,972,994"
Holy See,1960,"27,472,345"
Holy See,1955,"24,270,600"
Holy See,2020,"89,561,403"
Holy See,2019,"86,790,567"
Holy See,2018,"84,068,091"
Holy See,2017,"81,398,764"
Holy See,2016,"78,789,127"
Holy See,2015,"76,244,544"
Holy See,2010,"64,563,854"
Holy See,2005,"54,785,903"
Holy See,2000,"47,105,826"
Holy See,1995,"41,576,234"
Holy See,1990,"34,612,023"
Holy See,1985,"29,881,229"
Holy See,1980,"26,358,908"
Holy See,1975,"22,903,581"
Holy See,1970,"20,011,036"
Holy See,1965,"17,369,883"
Holy See,1960,"15,248,251"
Holy See,1955,"13,517,513"
Holy See,2020,"60,461,826"
Holy See,2019,"60,550,075"
Holy See,2018,"60,627,291"
Holy See,2017,"60,673,701"
Holy See,2020,"65,273,511"
Holy See,2019,"65,129,728"
Holy See,2018,"64,990,511"
Holy See,2017,"64,842,509"
Holy See,2016,"60,663,060"
Holy See,2015,"60,578,494"
Holy See,2010,"59,325,229"
Holy See,2005,"58,281,212"
Holy See,2000,"56,692,178"
Holy See,1995,"57,174,408"
Holy See,2020,"59,734,218"
Holy See,2019,"58,005,463"
Holy See,2020,"83,992,949"
Holy See,2016,"64,667,596"
Holy See,2015,"64,453,200"
Holy See,2010,"62,879,530"
Holy See,2005,"61,120,127"
Holy See,2020,"83,783,942"
Holy See,2019,"83,517,045"
Holy See,2018,"83,124,418"
Holy See,2017,"82,658,409"
Holy See,1990,"57,048,236"
Holy See,1985,"56,936,774"
Holy See,1980,"56,349,349"
Holy See,1975,"55,265,284"
Holy See,1970,"53,518,969"
Holy See,2018,"56,313,438"
Holy See,2017,"54,660,339"
Holy See,2019,"82,913,906"
Holy See,2018,"81,800,188"
Holy See,2017,"80,673,883"
Holy See,2016,"79,563,989"
Holy See,2015,"78,492,215"
Holy See,2010,"73,762,519"
Holy See,2005,"69,762,347"
Holy See,2000,"59,015,096"
Holy See,1995,"57,801,892"
Holy See,1990,"56,666,849"
Holy See,1985,"55,254,848"
Holy See,1980,"53,868,009"
Holy See,1975,"52,688,576"
Holy See,2016,"82,193,768"
Holy See,2015,"81,787,411"
Holy See,2010,"80,827,002"
Holy See,2005,"81,602,741"
Holy See,2000,"81,400,882"
Holy See,1965,"51,677,257"
Holy See,1960,"49,699,951"
Holy See,1955,"48,335,578"
Holy See,2016,"53,049,230"
Holy See,2015,"51,482,633"
Holy See,2010,"44,346,525"
Holy See,2005,"38,450,320"
Holy See,2000,"33,499,180"
Holy See,1995,"29,649,135"
Holy See,1990,"25,203,845"
Holy See,2000,"65,623,405"
Holy See,1995,"61,442,664"
Holy See,1990,"56,366,217"
Holy See,1985,"47,347,186"
Holy See,1980,"38,650,246"
Holy See,1970,"50,763,920"
Holy See,1965,"48,746,652"
Holy See,1960,"45,673,146"
Holy See,1955,"43,411,367"
Holy See,1995,"81,138,659"
Holy See,1990,"79,053,984"
Holy See,1985,"77,691,595"
Holy See,1985,"21,633,796"
Holy See,1980,"18,538,259"
Holy See,1975,"15,885,229"
Holy See,1970,"13,535,481"
Holy See,1975,"32,729,772"
Holy See,1970,"28,513,866"
Holy See,1965,"24,954,873"
Holy See,1960,"21,906,914"
Holy See,1955,"19,294,127"
Holy See,1980,"78,283,100"
Holy See,1975,"78,856,039"
Holy See,1970,"78,578,385"
Holy See,1965,"76,258,032"
Holy See,2020,"97,338,579"
Holy See,2020,"102,334,404"
Holy See,2019,"100,388,073"
Holy See,1965,"11,634,832"
Holy See,1960,"10,052,152"
Holy See,1955,"8,729,662"
Holy See,1960,"73,414,239"
Holy See,1955,"71,537,459"
Holy See,2020,"128,932,753"
Holy See,2019,"96,462,106"
Holy See,2018,"95,545,962"
Holy See,2017,"94,600,648"
Holy See,2016,"93,640,422"
Holy See,2015,"92,677,076"
Holy See,2010,"87,967,651"
Holy See,2005,"83,832,661"
Holy See,2018,"98,423,598"
Holy See,2017,"96,442,591"
Holy See,2016,"94,447,073"
Holy See,2015,"92,442,547"
Holy See,2010,"82,761,235"
Holy See,2020,"109,581,078"
Holy See,2020,"114,963,588"
Holy See,2019,"112,078,730"
Holy See,2018,"109,224,414"
Holy See,2020,"69,799,978"
Holy See,2019,"69,625,582"
Holy See,2018,"69,428,453"
Holy See,2020,"126,476,461"
Holy See,2019,"126,860,301"
Holy See,2018,"127,202,192"
Holy See,2017,"127,502,725"
Holy See,2016,"127,763,265"
Holy See,2019,"127,575,529"
Holy See,2018,"126,190,788"
Holy See,2017,"124,777,324"
Holy See,2016,"123,333,376"
Holy See,2015,"121,858,258"
Holy See,2010,"114,092,963"
Holy See,2000,"79,910,412"
Holy See,1995,"74,910,461"
Holy See,1990,"67,988,862"
Holy See,1985,"60,896,721"
Holy See,1980,"54,281,846"
Holy See,1975,"48,718,189"
Holy See,1970,"43,404,793"
Holy See,2005,"75,523,569"
Holy See,2000,"68,831,561"
Holy See,2019,"108,116,615"
Holy See,2018,"106,651,394"
Holy See,2017,"105,172,925"
